timestamp,movement,heart_rate,state,hr_change,hr_rolling_mean,movement_rolling_mean
391,10.798880208333332,126.13333333333334,active,0.13333333333333997,126.49333333333334,13.84667447916667
392,13.698463541666667,126.26666666666667,active,0.13333333333332575,126.41333333333334,13.659744791666668
393,10.12828125,126.4,active,0.13333333333333997,126.35999999999999,12.71240625
394,7.803138020833333,126.53333333333333,active,0.13333333333332575,126.33333333333333,11.68855078125
395,15.541119791666668,126.66666666666667,active,0.13333333333333997,126.33333333333333,11.644997395833332
396,9.753932291666668,126.8,active,0.13333333333332575,126.35999999999999,11.466865885416667
397,18.133645833333333,126.93333333333334,active,0.13333333333333997,126.41333333333334,12.008875
398,15.958072916666667,127.06666666666666,active,0.13333333333332575,126.49333333333334,12.22102734375
399,12.546158854166666,127.2,active,0.13333333333333997,126.6,12.388533854166667
400,10.0749609375,127.33333333333333,active,0.13333333333332575,126.73333333333332,12.443665364583333
401,8.796731770833333,127.46666666666667,active,0.13333333333333997,126.86666666666665,12.243450520833333
402,6.380729166666667,127.6,active,0.13333333333332575,127.0,11.511677083333334
403,12.093567708333332,127.73333333333333,active,0.13333333333333997,127.13333333333335,11.708205729166668
404,10.682526041666666,127.86666666666666,active,0.13333333333332575,127.26666666666668,11.99614453125
405,15.955403645833334,128.0,active,0.13333333333333997,127.4,12.037572916666665
406,14.784505208333334,127.66666666666667,active,-0.3333333333333286,127.48666666666668,12.540630208333335
407,24.56813802083333,127.33333333333333,active,-0.3333333333333428,127.52666666666667,13.184079427083333
408,11.44703125,127.0,active,-0.3333333333333286,127.52000000000001,12.732975260416666
409,16.9681640625,126.66666666666667,active,-0.3333333333333286,127.46666666666667,13.17517578125
410,7.224270833333334,126.33333333333333,active,-0.3333333333333428,127.36666666666667,12.890106770833333
411,16.7388671875,126.0,active,-0.3333333333333286,127.22,13.6843203125
412,15.110052083333333,125.66666666666667,active,-0.3333333333333286,127.02666666666667,14.557252604166667
413,12.108854166666667,125.33333333333333,active,-0.3333333333333428,126.78666666666666,14.558781250000001
414,6.823671875,125.0,active,-0.3333333333333286,126.5,14.172895833333333
415,13.914401041666666,124.66666666666667,active,-0.3333333333333286,126.16666666666667,13.968795572916667
416,18.149674479166663,124.33333333333333,active,-0.3333333333333428,125.83333333333333,14.3053125
417,12.108229166666666,124.0,active,-0.3333333333333286,125.5,13.059321614583334
418,20.32091145833333,123.66666666666667,active,-0.3333333333333286,125.16666666666667,13.946709635416667
419,15.9096484375,123.33333333333333,active,-0.3333333333333428,124.83333333333333,13.840858072916665
420,6.721067708333333,123.0,active,-0.3333333333333286,124.5,13.790537760416665
421,15.576002604166666,123.13333333333334,active,0.13333333333333997,124.21333333333334,13.67425130208333
422,9.381497395833334,123.26666666666667,active,0.13333333333332575,123.97333333333333,13.101395833333333
423,8.97,123.4,active,0.13333333333333997,123.78,12.787510416666667
424,13.9882421875,123.53333333333333,active,0.13333333333332575,123.63333333333333,13.503967447916665
425,15.051432291666666,123.66666666666667,active,0.13333333333333997,123.53333333333333,13.617670572916666
426,14.044830729166666,123.8,active,0.13333333333332575,123.47999999999999,13.207186197916666
427,14.537395833333331,123.93333333333334,active,0.13333333333333997,123.47333333333333,13.450102864583334
428,15.979088541666666,124.06666666666666,active,0.13333333333332575,123.51333333333332,13.015920572916665
429,20.6456640625,124.2,active,0.13333333333333997,123.6,13.489522135416667
430,6.7371875,124.33333333333333,active,0.13333333333332575,123.73333333333332,13.491134114583335
431,11.721354166666666,124.46666666666667,active,0.13333333333333997,123.86666666666665,13.105669270833332
432,9.158567708333331,124.6,active,0.13333333333332575,124.0,13.083376302083332
